iter	Passed	Remaining
412	2651	3769
413	2655	3758
414	2657	3746
415	2661	3736
416	2669	3732
417	2676	3726
418	2678	3714
419	2690	3715
420	2692	3703
421	2694	3690
422	2696	3678
423	2699	3667
424	2701	3655
425	2705	3645
426	2717	3646
427	2725	3642
428	2726	3629
429	2729	3618
430	2731	3606
431	2733	3594
432	2734	3581
433	2738	3570
434	2742	3562
435	2744	3550
436	2747	3540
437	2758	3539
438	2760	3527
439	2762	3515
440	2770	3512
441	2772	3500
442	2774	3488
443	2784	3486
444	2790	3480
445	2796	3473
446	2797	3461
447	2799	3448
448	2800	3436
449	2802	3424
450	2803	3412
451	2810	3407
452	2823	3409
453	2825	3398
454	2830	3390
455	2836	3383
456	2858	3396
457	2862	3387
458	2866	3379
459	2870	3369
460	2876	3362
461	2886	3361
462	2887	3349
463	2891	3339
464	2902	3339
465	2904	3327
466	2905	3316
467	2911	3310
468	2915	3301
469	2917	3289
470	2918	3278
471	2920	3267
472	2927	3261
473	2929	3250
474	2934	3243
475	2936	3232
476	2939	3222
477	2944	3215
478	2947	3206
479	2951	3197
480	2960	3194
481	2965	3186
482	2966	3175
483	2968	3164
484	2973	3157
485	2976	3147
486	2980	3140
487	3004	3152
488	3011	3147
489	3015	3138
490	3021	3132
491	3023	3121
492	3026	3112
493	3030	3103
494	3057	3119
495	3063	3113
496	3094	3132
497	3108	3133
498	3110	3122
499	3124	3124
500	3130	3118
501	3133	3108
502	3138	3100
503	3139	3089
504	3140	3078
505	3149	3074
506	3152	3065
507	3162	3062
508	3190	3077
509	3192	3067
510	3207	3069
511	3209	3058
512	3218	3055
513	3228	3052
514	3232	3044
515	3234	3033
516	3235	3023
517	3237	3012
518	3238	3001
519	3247	2997
520	3254	2992
521	3257	2983
522	3263	2976
523	3264	2965
524	3267	2956
525	3273	2949
526	3279	2943
527	3282	2934
528	3290	2929
529	3294	2921
530	3301	2915
531	3303	2905
532	3305	2895
533	3326	2903
534	3340	2903
535	3345	2896
536	3348	2887
537	3355	2881
538	3359	2873
539	3362	2864
540	3363	2854
541	3373	2850
542	3375	2840
543	3382	2834
544	3384	2825
545	3387	2816
546	3389	2806
547	3390	2796
548	3399	2792
549	3400	2782
550	3404	2774
551	3410	2768
552	3413	2759
553	3420	2753
554	3423	2745
555	3426	2736
556	3430	2728
557	3433	2719
558	3441	2715
559	3448	2709
560	3455	2704
561	3456	2694
562	3458	2684
563	3460	2674
564	3465	2668
565	3472	2662
566	3475	2654
567	3481	2647
568	3482	2638
569	3485	2629
570	3488	2620
571	3490	2611
572	3497	2606
573	3508	2604
574	3514	2597
575	3517	2589
576	3526	2585
577	3528	2576
578	3534	2569
579	3544	2567
580	3551	2561
581	3562	2558
582	3566	2550
583	3571	2543
584	3574	2535
585	3576	2526
586	3577	2517
587	3583	2510
588	3596	2509
589	3605	2505
590	3631	2513
591	3634	2504
592	3641	2499
593	3643	2490
594	3648	2483
595	3650	2474
596	3654	2466
597	3661	2461
598	3677	2461
599	3679	2452
600	3680	2443
601	3685	2436
602	3690	2429
603	3691	2420
604	3720	2428
605	3734	2428
606	3739	2421
607	3745	2414
608	3789	2433
609	3795	2426
610	3797	2417
611	3798	2408
612	3800	2399
613	3807	2393
614	3814	2387
615	3817	2379
616	3823	2373
617	3824	2364
618	3826	2354
619	3828	2346
620	3853	2351
621	3855	2343
622	3858	2334
623	3860	2326
624	3870	2322
625	3872	2313
626	3873	2304
627	3880	2298
628	3897	2298
629	3898	2289
630	3900	2281
631	3902	2272
632	3907	2265
633	3908	2256
634	3914	2249
635	3917	2242
636	3924	2236
637	3926	2228
638	3934	2222
639	3938	2215
640	3940	2206
641	3941	2198
642	3943	2189
643	3946	2181
644	3947	2172
645	3972	2176
646	3974	2168
647	3975	2159
648	3979	2152
649	3981	2143
650	3983	2135
651	3985	2127
652	3987	2118
653	3990	2111
654	4004	2109
655	4007	2101
656	4012	2094
657	4014	2086
658	4016	2078
659	4019	2070
660	4022	2062
661	4025	2055
662	4029	2048
663	4034	2041
664	4041	2036
665	4044	2028
666	4063	2028
667	4071	2023
668	4075	2016
669	4077	2008
670	4082	2001
671	4094	1998
672	4101	1992
673	4115	1990
674	4119	1983
675	4120	1975
676	4122	1966
677	4124	1958
678	4125	1950
679	4127	1942
680	4131	1935
681	4133	1927
682	4135	1919
683	4143	1914
684	4146	1906
685	4148	1898
686	4149	1890
687	4152	1882
688	4154	1875
689	4157	1867
690	4158	1859
691	4160	1851
692	4164	1844
693	4166	1837
694	4171	1830
695	4183	1827
696	4185	1819
697	4189	1812
698	4191	1804
699	4194	1797
700	4195	1789
701	4197	1781
702	4206	1777
703	4208	1769
704	4210	1761
705	4211	1753
706	4214	1746
707	4220	1740
708	4225	1734
709	4227	1726
710	4229	1719
711	4230	1711
712	4232	1703
713	4250	1702
714	4254	1695
715	4256	1688
716	4258	1680
717	4260	1673
718	4261	1665
719	4263	1658
720	4273	1653
721	4275	1646
722	4280	1639
723	4288	1634
724	4292	1628
725	4295	1621
726	4301	1615
727	4305	1608
728	4308	1601
729	4319	1597
730	4320	1590
731	4322	1582
732	4327	1576
733	4335	1571
734	4343	1565
735	4350	1560
736	4354	1553
737	4355	1546
738	4357	1539
739	4374	1537
740	4378	1530
741	4380	1523
742	4394	1520
743	4400	1514
744	4402	1507
745	4407	1500
746	4410	1493
747	4421	1489
748	4422	1482
749	4427	1475
750	4430	1468
751	4432	1461
752	4434	1454
753	4436	1447
754	4438	1440
755	4440	1433
756	4443	1426
757	4448	1420
758	4453	1413
759	4455	1407
760	4457	1400
761	4462	1393
762	4464	1386
763	4468	1380
764	4473	1374
765	4479	1368
766	4482	1361
767	4484	1354
768	4498	1351
769	4503	1345
770	4505	1338
771	4507	1331
772	4509	1324
773	4510	1317
774	4512	1310
775	4513	1303
776	4515	1296
777	4519	1289
778	4522	1283
779	4525	1276
780	4536	1271
781	4541	1266
782	4550	1261
783	4553	1254
784	4557	1248
785	4564	1242
786	4571	1237
787	4574	1230
788	4578	1224
789	4589	1219
790	4605	1216
791	4608	1210
792	4616	1205
793	4626	1200
794	4629	1193
795	4635	1188
796	4642	1182
797	4646	1176
798	4647	1169
799	4652	1163
800	4662	1158
801	4667	1152
802	4677	1147
803	4679	1140
804	4682	1134
805	4684	1127
806	4687	1121
807	4711	1119
808	4715	1113
809	4719	1107
810	4722	1100
811	4727	1094
812	4729	1087
813	4734	1081
814	4741	1076
815	4744	1069
816	4756	1065
817	4762	1059
818	4771	1054
819	4774	1048
820	4778	1041
821	4781	1035
822	4783	1028
823	4786	1022
824	4790	1016
825	4793	1009
826	4805	1005
827	4809	999
828	4819	994
829	4827	988
830	4835	983
