iter	Logloss
0	0.6878182503
1	0.6836304874
2	0.6780667695
3	0.6719126993
4	0.6665395813
5	0.6613130218
6	0.6556587203
7	0.6497894109
8	0.6445039787
9	0.6388290008
10	0.6340118963
11	0.629523663
12	0.6263720194
13	0.6211423611
14	0.6167414825
15	0.6120221059
16	0.6076995967
17	0.6035809003
18	0.5996097403
19	0.5957394542
20	0.5918422008
21	0.5879543697
22	0.583984172
23	0.5800332028
24	0.5779077523
25	0.5744254544
26	0.570641953
27	0.5679662089
28	0.5651970435
29	0.561964683
30	0.558747235
31	0.5554602282
32	0.551616575
33	0.5500947571
34	0.5484113511
35	0.5453542118
36	0.5427007239
37	0.5395861661
38	0.5368552496
39	0.5343151654
40	0.5310217588
41	0.5288701723
42	0.5255987867
43	0.5239194777
44	0.5210557539
45	0.5194393037
46	0.5169336718
47	0.514289917
48	0.5115389449
49	0.5100226027
50	0.5080213342
51	0.5066548915
52	0.5052682179
53	0.5036237843
54	0.5019229518
55	0.4993797599
56	0.4978373631
57	0.4963393531
58	0.4943295932
59	0.492350717
60	0.4911710588
61	0.4895714949
62	0.488020872
63	0.4861837937
64	0.4843463564
65	0.4827053671
66	0.4812918011
67	0.4798817724
68	0.4779276913
69	0.4763587241
70	0.4752185696
71	0.474314129
72	0.472768531
73	0.4709508408
74	0.4699496421
75	0.4685057089
76	0.4674695856
77	0.466320552
78	0.4648651553
79	0.463615938
80	0.4621362725
81	0.4606601017
82	0.4591812791
83	0.4577419376
84	0.4566592342
85	0.4553594964
86	0.4541094535
87	0.4530845764
88	0.4518809341
89	0.4508858257
90	0.4497157602
91	0.4490901566
92	0.447931348
93	0.4469664209
94	0.4464264688
95	0.4456210668
96	0.44421584
97	0.4433477007
98	0.442185759
99	0.4409031661
100	0.4400984828
101	0.4388097613
102	0.4378757351
103	0.4367796967
104	0.4362946083
105	0.435319213
106	0.4345593601
107	0.4332996282
108	0.4328908726
109	0.4320220261
110	0.4307915879
111	0.4300166505
112	0.4293070157
113	0.4284139038
114	0.427307047
115	0.4265472291
116	0.4259033248
117	0.4250413681
118	0.4245314679
119	0.4237865504
120	0.4230241065
121	0.422537472
122	0.4220988762
123	0.4210924807
124	0.4204213275
125	0.4198990446
126	0.419114509
127	0.4185591215
128	0.4180475351
129	0.417195339
130	0.4166227848
131	0.4160421229
132	0.4152212186
133	0.4145939306
134	0.4139952056
135	0.4136918693
136	0.4131222807
137	0.4126204076
138	0.4123486591
139	0.4119041834
140	0.41153945
141	0.4112846982
142	0.4110078553
143	0.4102155434
144	0.4096443415
145	0.4093599867
146	0.4091804623
147	0.4085279012
148	0.4081103882
149	0.4076499522
150	0.4070006819
151	0.4065664771
152	0.4057548506
153	0.4050553177
154	0.404634727
155	0.4042458661
156	0.4039582199
157	0.4034675875
158	0.4031584113
159	0.4026911522
160	0.4024708587
161	0.401973454
162	0.4015008296
163	0.401133688
164	0.4007875667
165	0.4005868654
166	0.3998411458
167	0.3996866115
168	0.3989123441
169	0.3985431432
170	0.3982592738
171	0.3976161918
172	0.397264746
173	0.3966373284
174	0.3962101109
175	0.3957910033
176	0.3954537011
177	0.3950523398
178	0.3947458396
179	0.3945677528
180	0.3944170126
181	0.3940823439
182	0.3937538071
183	0.3932732149
184	0.3930191504
185	0.3926542422
186	0.3923780447
187	0.391761829
188	0.3913253464
189	0.3908892396
190	0.3907342138
191	0.3903919783
192	0.3901167773
193	0.3897890099
194	0.3894847592
195	0.3891614375
196	0.3888145999
197	0.3885118129
198	0.3883387133
199	0.3879553846
200	0.3876343002
201	0.3874964447
202	0.3868619484
203	0.3867183041
204	0.3865576736
205	0.3863290588
206	0.3861297703
207	0.3856609174
208	0.3854627743
209	0.3852073856
210	0.3848252956
211	0.3844589017
212	0.3843333583
213	0.3840748898
214	0.3836604714
215	0.3831033094
216	0.382849043
217	0.3824738969
218	0.3823787345
219	0.382148526
220	0.381948756
221	0.3814551501
222	0.3812421404
223	0.3808295447
224	0.3802838788
225	0.3798638263
226	0.3796901814
227	0.3795440783
228	0.3791203271
229	0.3788520187
230	0.3786714777
231	0.3782814163
232	0.3780180851
233	0.3778184255
234	0.3775265506
235	0.3773977663
236	0.3772448415
237	0.377136612
238	0.3770234364
239	0.3768989001
240	0.3766698409
241	0.3763908423
242	0.3761728522
243	0.3757781866
244	0.3753075518
245	0.3749594014
246	0.3746438254
247	0.3745382513
248	0.3743528945
249	0.3742290121
250	0.3741142778
251	0.3736976203
252	0.3735383744
253	0.3735025267
254	0.3733388863
255	0.3731324633
256	0.3728391604
257	0.3725510487
258	0.3724750596
259	0.3722390884
260	0.3720374142
261	0.3717374858
262	0.3715443655
263	0.3713493579
264	0.3711923594
265	0.3709766117
266	0.3705125752
267	0.3703771122
268	0.3700603385
269	0.3698102625
270	0.369790637
271	0.369663267
272	0.3696201342
273	0.3693860177
274	0.3692308263
275	0.3691315483
276	0.3690487311
277	0.3687516213
278	0.3685441277
279	0.3683712682
280	0.3681998375
281	0.3680753742
282	0.367970104
283	0.3679274321
284	0.3676959101
285	0.3673559432
286	0.3671836224
287	0.366988424
288	0.3669323671
289	0.3668298802
290	0.3666512108
291	0.3665672798
292	0.3664313007
293	0.3663516094
294	0.3662333157
295	0.3661046537
296	0.3656928807
297	0.3654760018
298	0.3653251991
299	0.3652374086
300	0.3648861871
301	0.3647735774
302	0.3646691096
303	0.3645209316
304	0.3644217377
305	0.3641787817
306	0.364084104
307	0.3639724939
308	0.3639265598
309	0.3638876876
310	0.3638118443
311	0.3636503032
312	0.3635261183
313	0.3632206322
314	0.3631139427
315	0.3629039734
316	0.36278038
317	0.3626621437
318	0.3624477003
319	0.3621360291
320	0.362032168
321	0.3618607607
322	0.3617070886
323	0.3616111037
324	0.3614651813
325	0.3611560879
326	0.3610072153
327	0.3605775434
328	0.3604567295
329	0.3603636261
330	0.3601637484
331	0.360078036
332	0.3598644306
333	0.3598023128
334	0.3596037361
335	0.3594579204
336	0.3592233674
337	0.3591036005
338	0.3590342666
339	0.3588030823
340	0.3587617391
341	0.3586611033
342	0.3585990341
343	0.3585356131
344	0.3583117326
345	0.3579313783
346	0.3578101334
347	0.3577166439
348	0.3575272536
349	0.3574930994
350	0.35741532
351	0.3573363524
352	0.3572648467
353	0.3571519661
354	0.3569369779
355	0.3568236454
356	0.3566795356
357	0.3565848198
358	0.3564791284
359	0.3563459287
360	0.3562571221
361	0.356072251
362	0.3558011213
363	0.3557672382
364	0.3556415831
365	0.355498214
366	0.3552267108
367	0.3551585469
368	0.355102121
369	0.3550148714
370	0.3549698853
371	0.3548769877
372	0.3548110996
373	0.3547491532
374	0.3543782237
375	0.3542683206
376	0.354210989
377	0.3540754522
378	0.3538157427
379	0.3536784391
380	0.3536059016
381	0.3535281439
382	0.3533246152
383	0.3532811317
384	0.3531265697
385	0.3528740153
386	0.3527286105
387	0.3526437058
388	0.3523915253
389	0.3523147429
390	0.3522417469
391	0.3521572406
392	0.3520539256
393	0.3519627117
394	0.3518583809
395	0.3516960334
396	0.3515945437
397	0.3513717659
398	0.3512902294
399	0.3512219786
400	0.3511308832
401	0.3509523837
402	0.3508852068
403	0.3508388805
404	0.3507478276
405	0.350564593
406	0.3504399439
407	0.3503071078
408	0.350236647
409	0.3500213492
410	0.3498313322
411	0.3494462442
412	0.3493447961
413	0.3492877035
414	0.349242199
415	0.3491818166
416	0.349000673
417	0.3489652578
418	0.3488930895
419	0.3488645163
420	0.3488240967
421	0.3487564947
422	0.3487205907
423	0.3486617387
424	0.3485790613
425	0.3485386708
426	0.3484994183
427	0.3482301501
428	0.3480815751
429	0.3479597922
430	0.3478344524
431	0.3477844751
432	0.3477076061
433	0.3476673509
434	0.3476154926
435	0.3475120196
436	0.3474696974
437	0.3473322162
438	0.3472510997
439	0.3469904479
440	0.3469257477
441	0.3468204667
442	0.3466536751
443	0.3464638251
444	0.3464211256
445	0.3462414302
446	0.3461699309
447	0.3461080596
448	0.3459401684
449	0.3457925924
450	0.3457427431
451	0.3455653041
452	0.3454971719
453	0.345463164
454	0.3454093378
455	0.3452070757
456	0.344974577
457	0.3449249908
458	0.3448253949
459	0.3447652762
460	0.3447130895
461	0.3446537681
462	0.3445907091
463	0.3445433889
464	0.3444212764
465	0.3443003552
466	0.3441850734
467	0.3441101212
468	0.3439835832
469	0.3438095608
470	0.3436009283
471	0.3435385629
472	0.3434978254
473	0.3431849308
474	0.3429469234
475	0.3429316226
476	0.3427955034
477	0.342630444
478	0.3425841132
479	0.3425174606
480	0.3424475368
481	0.3422923349
482	0.3421916834
483	0.3421454733
484	0.3420556334
485	0.3419944282
486	0.341952434
487	0.3417958299
488	0.3417077757
489	0.3414561679
490	0.3413472473
491	0.341284925
492	0.3412060959
493	0.3411646313
494	0.341107717
495	0.3409697634
496	0.3408051752
497	0.3407699793
498	0.3407155005
499	0.3406769735
500	0.3404517786
501	0.3403881878
502	0.3402986374
503	0.3401864356
504	0.3400888779
505	0.3400526804
506	0.3400181839
507	0.3399799006
508	0.3399249756
509	0.3398496742
510	0.3397552841
511	0.3396036687
512	0.3395626068
513	0.3395114983
514	0.3394327997
515	0.3393431479
516	0.3392846898
517	0.3392353551
518	0.3390362816
519	0.3389824489
520	0.3388118829
521	0.3387458564
522	0.3386531113
523	0.3385945236
524	0.3384980796
525	0.3384202346
526	0.3383144917
527	0.3381831852
528	0.338114398
529	0.3380314894
530	0.3378100256
531	0.3377477524
532	0.3375642496
533	0.3372622749
534	0.3372081728
535	0.3371701433
536	0.3370172185
537	0.3368758456
538	0.3368222721
539	0.3367958595
540	0.3367364651
541	0.3367083422
542	0.3366751627
543	0.3365190906
544	0.3364103985
545	0.3361377761
546	0.3360940099
547	0.3360504474
548	0.3358062719
549	0.3357428618
550	0.3356543952
551	0.3355820732
552	0.3355248124
553	0.3353588109
554	0.3352414019
555	0.3351535983
556	0.3350629583
557	0.3349126606
558	0.334861813
559	0.3347945453
560	0.3347583061
561	0.3347031379
562	0.3346166426
563	0.3344722647
564	0.3344319351
565	0.3343314565
566	0.334282103
567	0.3342340148
568	0.3341713558
569	0.3339843213
