iter	Passed	Remaining
0	176	176075
1	224	112172
2	260	86427
3	265	66120
4	377	75090
5	414	68592
6	431	61175
7	471	58457
8	484	53388
9	555	54991
10	590	53089
11	608	50137
12	675	51269
13	681	47962
14	688	45231
15	695	42801
16	706	40856
17	741	40463
18	790	40793
19	934	45801
20	961	44825
21	1051	46765
22	1091	46354
23	1134	46138
24	1140	44465
25	1157	43350
26	1187	42803
27	1213	42112
28	1236	41417
29	1251	40459
30	1267	39619
31	1278	38688
32	1288	37768
33	1314	37347
34	1324	36504
35	1340	35884
36	1345	35031
37	1353	34267
38	1357	33448
39	1371	32926
40	1377	32213
41	1384	31589
42	1402	31218
43	1413	30721
44	1442	30617
45	1460	30281
46	1476	29941
47	1495	29666
48	1502	29167
49	1532	29123
50	1575	29322
51	1605	29271
52	1630	29127
53	1649	28898
54	1688	29015
55	1713	28880
56	1719	28453
57	1749	28421
58	1763	28120
59	1799	28190
60	1815	27952
61	1845	27920
62	1877	27931
63	1899	27778
64	1922	27657
65	1935	27394
66	1941	27037
67	1955	26795
68	1963	26492
69	1974	26229
70	2015	26365
71	2025	26105
72	2032	25809
73	2050	25659
74	2090	25782
75	2115	25723
76	2122	25441
77	2162	25566
78	2196	25609
79	2206	25372
80	2226	25262
81	2251	25201
82	2276	25153
83	2310	25196
84	2324	25018
85	2343	24909
86	2349	24652
87	2367	24533
88	2382	24390
89	2404	24307
90	2427	24244
91	2436	24050
92	2463	24025
93	2476	23867
94	2517	23980
95	2529	23822
96	2550	23747
97	2563	23598
98	2570	23394
99	2574	23173
100	2600	23143
101	2605	22935
102	2642	23009
103	2650	22836
104	2668	22745
105	2684	22642
106	2714	22656
107	2745	22676
108	2756	22535
109	2780	22493
110	2785	22310
111	2792	22139
112	2801	21987
113	2808	21824
114	2822	21721
115	2840	21647
116	2859	21577
117	2868	21440
118	2876	21297
119	2906	21315
120	2928	21273
121	2949	21227
122	2970	21181
123	2993	21144
124	3021	21152
125	3031	21026
126	3062	21054
127	3076	20961
128	3112	21017
129	3117	20864
130	3124	20726
131	3139	20641
132	3146	20508
133	3154	20384
134	3169	20310
135	3198	20320
136	3228	20337
137	3259	20359
138	3293	20403
139	3304	20301
140	3313	20188
141	3354	20270
142	3388	20309
143	3405	20244
144	3415	20137
145	3450	20181
146	3477	20180
147	3513	20226
148	3549	20272
149	3566	20209
150	3582	20141
151	3594	20053
152	3633	20116
153	3664	20131
154	3697	20156
155	3721	20134
156	3759	20184
157	3806	20283
158	3834	20280
159	3868	20310
160	3907	20360
161	3948	20426
162	3975	20416
163	3987	20325
164	4026	20377
165	4062	20410
166	4102	20463
167	4133	20472
168	4217	20738
169	4237	20687
170	4248	20595
171	4260	20508
172	4299	20551
173	4320	20510
174	4338	20452
175	4360	20414
176	4372	20331
177	4378	20220
178	4403	20197
179	4417	20123
180	4431	20049
181	4448	19993
182	4481	20007
183	4506	19983
184	4542	20011
185	4560	19957
186	4577	19900
187	4593	19841
188	4604	19757
189	4656	19851
190	4673	19793
191	4696	19762
192	4717	19727
193	4738	19685
194	4744	19587
195	4785	19631
196	4803	19578
197	4840	19606
198	4853	19537
199	4867	19471
200	4896	19465
201	4910	19397
202	4921	19324
203	4943	19289
204	4958	19229
205	4982	19202
206	5001	19158
207	5014	19093
208	5029	19035
209	5059	19033
210	5070	18960
211	5085	18903
212	5124	18933
213	5151	18922
214	5160	18841
215	5169	18762
216	5198	18758
217	5213	18703
218	5226	18640
219	5232	18552
220	5284	18625
221	5296	18561
222	5312	18510
223	5350	18534
224	5363	18474
225	5376	18413
226	5382	18327
227	5391	18254
228	5403	18192
229	5447	18237
230	5462	18184
231	5492	18181
232	5500	18107
233	5517	18062
234	5540	18035
235	5551	17970
236	5558	17894
237	5612	17970
238	5664	18035
239	5691	18022
240	5738	18073
241	5823	18240
242	5847	18215
243	5860	18158
244	5874	18103
245	5891	18056
246	5914	18030
247	5947	18035
248	5991	18071
249	6033	18100
250	6047	18045
251	6062	17993
252	6074	17934
253	6085	17871
254	6127	17903
255	6157	17895
256	6196	17913
257	6216	17878
258	6233	17833
259	6246	17777
260	6264	17736
261	6310	17774
262	6365	17837
263	6492	18099
264	6511	18059
265	6556	18093
266	6651	18260
267	6690	18273
268	6694	18192
269	6777	18324
270	6808	18314
271	6828	18276
272	6886	18338
273	6910	18309
274	6934	18280
275	6970	18285
276	6988	18241
277	7015	18219
278	7068	18266
279	7084	18216
280	7095	18155
281	7140	18181
282	7169	18165
283	7196	18144
284	7221	18115
285	7269	18148
286	7293	18119
287	7311	18074
288	7324	18020
289	7365	18032
290	7395	18018
291	7448	18059
292	7483	18057
293	7539	18104
294	7580	18115
295	7592	18058
296	7613	18020
297	7682	18097
298	7701	18056
299	7726	18029
300	7743	17981
301	7751	17916
302	7758	17847
303	7771	17792
304	7782	17734
305	7793	17675
306	7813	17637
307	7822	17575
308	7833	17518
309	7869	17515
310	7887	17473
311	7922	17469
312	7931	17407
313	7942	17352
314	7954	17298
315	7963	17238
316	8002	17242
317	8022	17205
318	8040	17164
319	8057	17121
320	8072	17075
321	8108	17072
322	8130	17040
323	8153	17011
324	8185	16999
325	8201	16957
326	8212	16902
327	8235	16872
328	8264	16856
329	8279	16809
330	8321	16818
331	8330	16761
332	8351	16727
333	8389	16728
334	8461	16797
335	8487	16773
336	8504	16731
337	8518	16684
338	8535	16643
339	8589	16673
340	8606	16632
341	8616	16577
342	8638	16547
343	8657	16509
344	8681	16481
345	8739	16519
346	8756	16478
347	8773	16437
348	8784	16385
349	8801	16346
350	8815	16300
351	8830	16255
352	8839	16200
353	8848	16147
354	8866	16109
355	8879	16062
356	8935	16094
357	8956	16062
358	8965	16008
359	8976	15957
360	8985	15904
361	8996	15855
362	9002	15797
363	9010	15743
364	9024	15699
365	9067	15706
366	9103	15701
367	9116	15657
368	9128	15610
369	9139	15561
370	9152	15516
371	9185	15506
372	9213	15487
373	9236	15459
374	9271	15452
375	9289	15416
376	9306	15378
377	9313	15325
378	9321	15273
379	9332	15226
380	9347	15187
381	9390	15191
382	9407	15154
383	9425	15120
384	9432	15066
385	9443	15021
386	9475	15008
387	9530	15032
388	9546	14994
389	9570	14969
390	9580	14921
391	9607	14900
392	9626	14868
393	9635	14820
394	9687	14837
395	9738	14853
396	9765	14832
397	9793	14813
398	9805	14769
399	9816	14724
400	9855	14722
401	9891	14714
402	9916	14689
403	9950	14679
404	9962	14636
405	9972	14589
406	9986	14549
407	9998	14508
408	10015	14472
409	10045	14455
410	10066	14425
411	10080	14386
412	10094	14346
413	10102	14299
414	10112	14254
415	10130	14221
416	10175	14225
417	10190	14188
418	10226	14180
419	10259	14168
420	10274	14130
421	10286	14089
422	10296	14045
423	10408	14140
424	10431	14112
425	10440	14068
426	10464	14042
427	10477	14003
428	10496	13970
429	10520	13945
430	10534	13907
431	10564	13889
432	10588	13865
433	10628	13861
434	10673	13862
435	10710	13854
436	10731	13826
437	10746	13788
438	10758	13748
439	10767	13704
440	10806	13698
441	10828	13670
442	10852	13644
443	10873	13616
444	10904	13600
445	10914	13557
446	10933	13525
447	10949	13491
448	10958	13448
449	10976	13415
450	11007	13399
451	11022	13363
452	11046	13339
453	11065	13307
454	11117	13317
455	11135	13284
456	11149	13247
457	11174	13224
458	11191	13191
459	11218	13169
460	11248	13152
461	11260	13113
462	11309	13117
463	11325	13082
464	11337	13044
465	11354	13011
466	11383	12991
467	11390	12948
468	11403	12911
469	11413	12870
470	11439	12847
471	11477	12838
472	11508	12822
473	11534	12800
474	11550	12766
475	11569	12736
476	11592	12710
477	11607	12675
478	11627	12647
479	11710	12686
480	11734	12661
481	11749	12627
482	11764	12592
483	11812	12593
484	11830	12561
485	11849	12532
486	11879	12513
487	11909	12494
488	11936	12473
489	11970	12458
490	11986	12425
491	11993	12383
492	12004	12345
493	12021	12313
494	12068	12312
495	12081	12276
496	12094	12240
497	12124	12221
498	12148	12197
499	12157	12157
500	12181	12132
501	12189	12092
502	12233	12087
503	12245	12051
504	12263	12020
505	12291	12000
506	12302	11962
507	12334	11946
508	12345	11908
509	12364	11879
510	12422	11887
511	12430	11848
512	12448	11817
513	12461	11782
514	12496	11768
515	12520	11744
516	12539	11714
517	12563	11689
518	12584	11663
519	12623	11652
520	12646	11626
521	12657	11590
522	12673	11559
523	12724	11558
524	12773	11557
525	12806	11540
526	12817	11503
527	12828	11468
528	12854	11445
529	12881	11423
530	12894	11389
531	12929	11373
532	12942	11339
533	12949	11300
534	12970	11273
535	12994	11248
536	13014	11220
537	13028	11187
538	13049	11161
539	13065	11130
540	13077	11094
541	13094	11065
542	13113	11036
543	13143	11017
544	13152	10980
545	13162	10944
546	13205	10936
547	13239	10919
548	13249	10884
549	13260	10849
550	13276	10818
551	13293	10789
552	13304	10754
553	13315	10719
554	13350	10704
555	13372	10678
556	13384	10645
557	13399	10613
558	13442	10605
559	13455	10571
560	13500	10564
561	13512	10531
562	13529	10501
563	13545	10471
564	13562	10441
565	13596	10425
566	13618	10399
567	13642	10376
568	13673	10357
569	13689	10327
570	13704	10296
571	13725	10270
572	13758	10252
573	13772	10221
574	13783	10187
575	13823	10175
576	13839	10145
577	13845	10108
578	13867	10083
579	13907	10070
580	13938	10051
581	13964	10029
582	13976	9996
583	13989	9965
584	14013	9941
585	14044	9922
586	14060	9892
587	14084	9868
588	14099	9838
589	14133	9821
590	14144	9788
591	14156	9756
592	14167	9723
593	14184	9695
594	14217	9677
595	14234	9649
596	14256	9623
597	14271	9593
598	14278	9558
599	14314	9542
600	14331	9514
601	14350	9487
602	14371	9462
603	14383	9429
604	14403	9403
605	14430	9382
606	14448	9354
607	14480	9335
608	14531	9329
609	14570	9315
610	14599	9295
611	14612	9264
612	14631	9236
613	14649	9209
614	14672	9185
615	14687	9155
616	14695	9122
617	14743	9113
618	14770	9091
619	14815	9080
620	14852	9064
621	14861	9031
622	14874	9001
623	14908	8983
624	14924	8954
625	14942	8927
626	14952	8894
627	14957	8859
628	14972	8831
629	14996	8807
630	15013	8779
631	15029	8751
632	15059	8731
633	15072	8700
634	15080	8668
635	15093	8638
636	15125	8619
637	15137	8589
638	15158	8563
639	15169	8532
640	15192	8509
641	15206	8479
642	15222	8451
643	15231	8419
644	15243	8389
645	15266	8365
646	15278	8335
647	15296	8309
648	15308	8279
649	15360	8270
650	15372	8241
651	15386	8212
652	15403	8185
653	15421	8158
654	15437	8131
655	15461	8107
656	15486	8085
657	15506	8059
658	15539	8040
659	15553	8012
660	15571	7986
661	15580	7954
662	15590	7924
663	15610	7899
664	15623	7870
665	15639	7843
666	15676	7826
667	15688	7797
668	15706	7771
669	15724	7744
670	15733	7714
671	15766	7695
672	15787	7671
673	15824	7653
674	15834	7623
675	15849	7596
676	15857	7565
677	15862	7533
678	15888	7511
679	15910	7487
680	15923	7458
681	15939	7432
682	15982	7417
683	15992	7388
684	16008	7361
685	16025	7335
686	16055	7314
687	16087	7295
688	16099	7267
689	16116	7240
690	16130	7213
691	16141	7184
692	16170	7163
693	16187	7137
694	16217	7117
695	16236	7091
696	16250	7064
697	16260	7035
698	16282	7011
699	16295	6983
700	16305	6955
701	16342	6937
702	16362	6912
703	16375	6885
704	16389	6857
705	16416	6836
706	16442	6814
707	16455	6786
708	16498	6771
709	16512	6744
710	16524	6716
711	16554	6696
712	16577	6672
713	16589	6645
714	16596	6615
715	16620	6592
716	16652	6572
717	16699	6558
718	16713	6532
719	16726	6504
720	16735	6475
721	16742	6446
722	16760	6421
723	16801	6404
724	16812	6377
725	16823	6349
726	16846	6326
727	16856	6298
728	16873	6272
729	16889	6246
730	16933	6231
731	16948	6205
732	16958	6177
733	16970	6150
734	16985	6124
735	17010	6101
736	17037	6080
737	17056	6055
738	17071	6029
739	17101	6008
740	17108	5979
741	17117	5951
742	17128	5924
743	17136	5896
744	17155	5871
